"","LAGOSLAKEI","Rowid_","A_1","A_2","A_3","buff_area_ha","GAP12_buff_ha","GAP123_buff_ha","GAP12_buff_pct","GAP123_buff_pct"
"1178",37574,NA,0,3837600,0,968.5833803167,383.76,383.76,0.396207500354302,0.396207500354302
"1179",37580,NA,0,2700,0,1018.33208292588,0.27,0.27,0.000265139441766612,0.000265139441766612
"1180",37581,NA,0,8527500,0,957.818159968031,852.75,852.75,0.890304690013877,0.890304690013877
"1181",37582,NA,0,6358500,0,888.803240245743,635.85,635.85,0.715400182186775,0.715400182186775
"1182",37583,NA,0,0,443700,893.588599060248,0,44.37,0,0.0496537221341702
"1183",37586,NA,0,2674800,0,894.788258220511,267.48,267.48,0.298931057199995,0.298931057199995
"1184",37587,NA,0,3042900,3413700,929.108089738612,304.29,645.66,0.327507642394553,0.694924527222279
"1185",37589,NA,1418400,137700,1420200,932.968695922807,155.61,297.63,0.166790162070856,0.319013919010017
"1186",37604,NA,0,0,21600,905.805785097843,0,2.16,0,0.00238461713927636
"1187",38515,NA,0,4313700,0,933.631466645433,431.37,431.37,0.462034555829535,0.462034555829535
"1188",38518,NA,0,0,5841900,910.407890201575,0,584.19,0,0.641679412368289
"1189",38520,NA,0,0,8724600,907.358238167577,0,872.46,0,0.961538633034231
"1190",38526,NA,0,7624800,0,881.90963378354,762.48,762.48,0.864578377184557,0.864578377184557
"1191",38527,NA,0,2323800,0,1116.5534638449,232.38,232.38,0.208122591102615,0.208122591102615
"1192",38528,NA,0,217800,278100,843.761306891107,21.78,49.59,0.0258129874196884,0.0587725457365633
"1193",38529,NA,0,0,8436600,860.810285059174,0,843.66,0,0.980076579756485
"1194",38531,NA,0,0,300600,896.937613605957,0,30.06,0,0.033514036588509
"1195",38534,NA,0,7189200,0,1008.58574056202,718.92,718.92,0.712800083411247,0.712800083411247
"1196",38541,NA,0,0,2548800,1034.06967265546,0,254.88,0,0.246482424482556
"1197",38547,NA,0,0,328500,862.612625687383,0,32.85,0,0.0380819837569884
"1198",38552,NA,0,0,90000,906.792736612562,0,9,0,0.00992509052688339
"1199",38559,NA,0,0,3654900,1096.68104068217,0,365.49,0,0.333269188070083
"1200",38560,NA,0,2742300,0,1131.27329558601,274.23,274.23,0.2424082678076,0.2424082678076
"1201",38593,NA,0,0,124200,898.736119592319,0,12.42,0,0.0138194067527117
"1202",38594,NA,0,0,927000,895.03439337708,0,92.7,0,0.103571438914466
"1203",38595,NA,0,0,2544300,912.49044627796,0,254.43,0,0.278830316566949
"1204",38598,NA,0,755100,0,1030.77527923042,75.51,75.51,0.0732555402923284,0.0732555402923284
"1205",38602,NA,187200,200700,0,1021.48403019873,38.79,38.79,0.0379741619577288,0.0379741619577288
"1206",38603,NA,0,2973600,3438000,853.783124371895,297.36,641.16,0.348285169279681,0.750963542962604
"1207",38606,NA,0,0,2713500,914.719914582742,0,271.35,0,0.296648182327788
"1208",38614,NA,0,9265500,0,1028.98384061508,926.55,926.55,0.900451458446759,0.900451458446759
"1209",38616,NA,0,0,7671600,867.405323527806,0,767.16,0,0.884430818201461
"1210",38617,NA,0,6386400,5652000,2247.68883987165,638.64,1203.84,0.284131855206644,0.535590148709705
"1211",38624,NA,0,0,421200,863.869307995499,0,42.12,0,0.0487573752304434
"1212",38632,NA,0,87300,0,1073.60693465238,8.73,8.73,0.00813146759603098,0.00813146759603098
"1213",39595,NA,0,4019400,4344300,860.15205712133,401.94,836.37,0.467289471288567,0.97235133378519
"1214",39600,NA,0,8740800,0,873.981487229403,874.08,874.08,1,1
"1215",39610,NA,71100,100800,0,1067.07472374406,17.19,17.19,0.016109462268664,0.016109462268664
"1216",39613,NA,0,9900,0,870.837439684667,0.99,0.99,0.00113683674459206,0.00113683674459206
"1217",39614,NA,0,4264200,0,978.580803303846,426.42,426.42,0.435753489707071,0.435753489707071
"1218",39616,NA,0,1558800,0,854.554269186732,155.88,155.88,0.182410884388125,0.182410884388125
"1219",39619,NA,0,9068400,0,907.060897817494,906.84,906.84,0.999756468592103,0.999756468592103
"1220",39622,NA,0,0,1532700,890.7863464969,0,153.27,0,0.172061460756273
"1221",39624,NA,0,0,529200,865.124949806388,0,52.92,0,0.061170354654369
"1222",39627,NA,90000,0,0,1210.94561741142,9,9,0.00743220824337169,0.00743220824337169
"1223",39631,NA,0,8958600,0,1019.56369401632,895.86,895.86,0.878669969573931,0.878669969573931
"1224",39636,NA,0,0,511200,825.761573522062,0,51.12,0,0.0619064892811148
"1225",39642,NA,0,2070000,0,1087.95345555478,207,207,0.190265492464882,0.190265492464882
"1226",39652,NA,0,0,1053900,890.016555710313,0,105.39,0,0.11841352761791
"1227",39662,NA,647100,0,188100,886.496770714561,64.71,83.52,0.0729951897600715,0.0942135411645986
"1228",39675,NA,0,0,767700,919.443476215662,0,76.77,0,0.0834961604338939
"1229",39684,NA,0,0,2489400,898.08246266252,0,248.94,0,0.277190581432772
"1230",39686,NA,0,0,821700,881.459411371708,0,82.17,0,0.0932204012345036
"1231",39688,NA,0,164700,4104900,1295.73314864784,16.47,426.96,0.012710950566625,0.329512292284529
"1232",39690,NA,0,470700,0,955.864138387094,47.07,47.07,0.0492433998825659,0.0492433998825659
"1233",39695,NA,0,133200,0,1171.7499513326,13.32,13.32,0.01136761301748,0.01136761301748
"1234",39698,NA,0,3621600,0,959.296218371642,362.16,362.16,0.377526767086343,0.377526767086343
"1235",39709,NA,0,0,3843000,853.718771088772,0,384.3,0,0.450148237352086
"1236",39711,NA,0,0,1940400,847.494666435612,0,194.04,0,0.228957193106704
"1237",39713,NA,0,151200,6357600,902.974810202424,15.12,650.88,0.0167446531499705,0.720817449884443
"1238",39715,NA,0,118800,27000,1152.55241421666,11.88,14.58,0.0103075572559312,0.0126501839050065
"1239",39724,NA,0,50400,0,862.5724740338,5.04,5.04,0.005842987287121,0.005842987287121
"1240",39726,NA,0,468900,0,916.044198944168,46.89,46.89,0.0511874864270146,0.0511874864270146
"1241",39730,NA,0,93600,0,908.168860057041,9.36,9.36,0.0103064533609004,0.0103064533609004
"1242",39734,NA,0,0,1115100,888.769413514958,0,111.51,0,0.125465613807516
"1243",39747,NA,0,0,26100,894.758565521216,0,2.61,0,0.00291698800165117
"1244",40665,NA,0,4517100,0,866.122662321583,451.71,451.71,0.521531209897247,0.521531209897247
"1245",40666,NA,0,0,7891200,889.325409784563,0,789.12,0,0.887324247477829
"1246",40672,NA,0,3172500,0,910.160845784471,317.25,317.25,0.348564763546339,0.348564763546339
"1247",40674,NA,0,6636600,0,893.925208008373,663.66,663.66,0.742411103361327,0.742411103361327
"1248",40675,NA,0,2647800,26100,1176.25911764258,264.78,267.39,0.225103462348215,0.227322361195291
"1249",40721,NA,0,62100,0,867.750290770624,6.21,6.21,0.00715643666853177,0.00715643666853177
"1250",40739,NA,0,0,3448800,875.742305307304,0,344.88,0,0.393814479339306
"1251",40744,NA,0,0,187200,951.14715771283,0,18.72,0,0.0196814970724561
"1252",40751,NA,0,2952900,0,911.388567499394,295.29,295.29,0.324000114254446,0.324000114254446
"1253",40762,NA,0,0,4548600,844.469525604734,0,454.86,0,0.538634001830048
"1254",40766,NA,0,3374100,0,1132.49725482207,337.41,337.41,0.297934497027113,0.297934497027113
"1255",40781,NA,0,20700,0,997.115539443884,2.07,2.07,0.00207598810580616,0.00207598810580616
"1256",40791,NA,0,264600,2057400,920.759458300962,26.46,232.2,0.0287371471033548,0.252183127641685
"1257",40799,NA,0,0,7316100,872.766488034007,0,731.61,0,0.838265458207525
"1258",40811,NA,0,0,879300,914.038127897111,0,87.93,0,0.0961994880917023
"1259",41775,NA,0,1235700,4047300,1099.25826094391,123.57,528.3,0.112412164084074,0.480596797650046
"1260",41777,NA,12753000,1111500,0,2165.6919614294,1386.45,1386.45,0.640187997504926,0.640187997504926
"1261",41780,NA,0,0,850500,827.850779272421,0,85.05,0,0.102735906191631
"1262",41781,NA,0,8528400,0,873.327757355759,852.84,852.84,0.976540586070697,0.976540586070697
"1263",41783,NA,0,5401800,0,913.66875641544,540.18,540.18,0.591220829438523,0.591220829438523
"1264",41784,NA,1104300,0,0,907.14794958291,110.43,110.43,0.121733174892556,0.121733174892556
"1265",41788,NA,0,1261800,0,891.044801675721,126.18,126.18,0.1416090411646,0.1416090411646
"1266",41790,NA,0,136800,0,855.84367267758,13.68,13.68,0.0159842275367895,0.0159842275367895
